;N�  EXPEDIENTE;FECHA;HORA;CALLE;N�MERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
0;2019S000659;01/01/2019;14:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;1.0;;Spain;Madrid;CALLE CASTELLO;CALLE CASTELLO Madrid Spain;40.42554;-3.68149
1;2019S000036;02/01/2019;20:45;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;-;HORTALEZA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 A�OS;Hombre;3.0;;Spain;Madrid;AVENIDA GRAN VIA DE HORTALEZA;AVENIDA GRAN VIA DE HORTALEZA Madrid Spain;40.46858;-3.64565
2;2019S000133;03/01/2019;14:30;CALL. FELIPE ALVAREZ;10;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;7.0;;Spain;Madrid;CALLE FELIPE ALVAREZ;CALLE FELIPE ALVAREZ Madrid Spain;40.38233;-3.62241
3;2019S000132;03/01/2019;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;7.0;;Spain;Madrid;AVENIDA SANTA EUGENIA;AVENIDA SANTA EUGENIA Madrid Spain;40.38578;-3.60997
4;2019S000132;03/01/2019;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;-;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA SANTA EUGENIA;AVENIDA SANTA EUGENIA Madrid Spain;40.38578;-3.60997
5;2019S000045;03/01/2019;10:30;CTRA. DEHESA DE LA VILLA;1;MONCLOA-ARAVACA;Ca�da;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;2.0;;Spain;Madrid;CARRETERA DEHESA DE LA VILLA;CARRETERA DEHESA DE LA VILLA Madrid Spain;40.45481;-3.72313
6;2019S000306;04/01/2019;17:10;CALL. PRADILLO;26;CHAMART�N;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;CALLE PRADILLO;CALLE PRADILLO Madrid Spain;40.44923;-3.6701
7;2019S000641;04/01/2019;13:35;CALL. CA�ON DEL RIO LOBOS; 7A;MORATALAZ;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;7.0;;Spain;Madrid;CALLE CA�ON DEL RIO LOBOS;CALLE CA�ON DEL RIO LOBOS Madrid Spain;40.43213;-3.28776
8;2019S000904;07/01/2019;14:00;CALL. NUESTRA SE�ORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;-;FUENCARRAL-EL PARDO;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;CALLE NUESTRA SE�ORA DE VALVERDE;CALLE NUESTRA SE�ORA DE VALVERDE Madrid Spain;40.49726;-3.68702
9;2019S002373;08/01/2019;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Hombre;14.0;;Spain;Madrid;CALLE PUERTO DE LA CRUZ VERDE;CALLE PUERTO DE LA CRUZ VERDE Madrid Spain;40.55689;-3.96734
10;2019S002373;08/01/2019;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 35 A 39 A�OS;Hombre;7.0;;Spain;Madrid;CALLE PUERTO DE LA CRUZ VERDE;CALLE PUERTO DE LA CRUZ VERDE Madrid Spain;40.55689;-3.96734
11;2019S001738;08/01/2019;13:03;C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;-;FUENCARRAL-EL PARDO;Ca�da;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;2.0;;Spain;Madrid;CALLE MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;CALLE MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE Madrid Spain;40.50709;-3.68556
12;2019S001943;09/01/2019;14:50;CALL. ANTONIO DE LEYVA;84;CARABANCHEL;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;CALLE ANTONIO DE LEYVA;CALLE ANTONIO DE LEYVA Madrid Spain;40.38898;-3.71629
13;2019S001678;09/01/2019;12:50;CALL. GRAN VIA;66;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;;;Spain;Madrid;CALLE GRAN VIA;CALLE GRAN VIA Madrid Spain;40.42069;-3.70659
